,open,high,low,close,adjclose,volume,ticker,date,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2016-09-21,783.25,790.6900024414062,779.010009765625,789.739990234375,789.739990234375,2718600,AMZN,2016-09-21,70.70134,56.86000061035156,0.0,732.8799896240234
2016-09-22,794.27001953125,805.8900146484375,794.27001953125,804.7000122070312,804.7000122070312,4078900,AMZN,2016-09-22,43.405216,40.29999923706055,0.0,764.4000129699707
2016-09-23,803.1300048828125,807.75,802.1199951171875,805.75,805.75,2353500,AMZN,2016-09-23,205.94336,189.9600067138672,0.0,615.7899932861328
2016-09-26,801.7999877929688,805.9299926757812,797.1500244140625,799.1599731445312,799.1599731445312,2651400,AMZN,2016-09-26,46.916206,39.18000030517578,0.0,759.9799728393555
2016-09-27,801.8499755859375,816.6400146484375,801.1099853515625,816.1099853515625,816.1099853515625,3819600,AMZN,2016-09-27,15.956961,15.270000457763674,0.0,800.8399848937988
2016-09-28,818.0,830.1400146484375,817.030029296875,828.719970703125,828.719970703125,4422100,AMZN,2016-09-28,84.44935,86.58999633789062,0.0,742.1299743652344
2016-09-29,828.260009765625,837.5,824.6300048828125,829.0499877929688,829.0499877929688,4922200,AMZN,2016-09-29,3355.796,3244.989990234375,2415.9400024414062,0.0
2016-09-30,832.6099853515625,839.9500122070312,832.4000244140625,837.3099975585938,837.3099975585938,4430600,AMZN,2016-09-30,46.78736,52.630001068115234,0.0,784.6799964904785
2016-10-03,836.0,839.8599853515625,831.25,836.739990234375,836.739990234375,2769400,AMZN,2016-10-03,16.13423,10.8100004196167,0.0,825.9299898147583
2016-10-04,840.9099731445312,842.3699951171875,830.260009765625,834.030029296875,834.030029296875,2950300,AMZN,2016-10-04,88.05466,69.25000000000001,0.0,764.780029296875
2016-10-05,838.0,845.6699829101562,836.1199951171875,844.3599853515625,844.3599853515625,3469100,AMZN,2016-10-05,1638.5349,1643.239990234375,798.8800048828125,0.0
2016-10-06,843.7000122070312,847.2100219726562,840.5999755859375,841.6599731445312,841.6599731445312,2684000,AMZN,2016-10-06,1812.224,1807.8399658203125,966.1799926757812,0.0
2016-10-07,845.7899780273438,845.9500122070312,837.4500122070312,839.4299926757812,839.4299926757812,2426200,AMZN,2016-10-07,21.979063,15.140000343322754,0.0,824.2899923324585
2016-10-10,843.25,845.2000122070312,840.27001953125,841.7100219726562,841.7100219726562,1827100,AMZN,2016-10-10,101.99937,64.25000000000001,0.0,777.4600219726562
2016-10-11,841.02001953125,841.2899780273438,828.3499755859375,831.0,831.0,3588200,AMZN,2016-10-11,60.976616,55.72000122070312,0.0,775.2799987792969
2016-10-12,834.0,837.6699829101562,830.0999755859375,834.0900268554688,834.0900268554688,2380400,AMZN,2016-10-12,19.546461,14.4399995803833,0.0,819.6500272750854
2016-10-13,829.0,831.7999877929688,821.2100219726562,829.280029296875,829.280029296875,3091400,AMZN,2016-10-13,308.9599,299.8599853515625,0.0,529.4200439453125
2016-10-14,835.0800170898438,835.739990234375,822.9600219726562,822.9600219726562,822.9600219726562,2999800,AMZN,2016-10-14,373.39944,316.79998779296875,0.0,506.1600341796875
2016-10-17,821.5,822.0,811.6799926757812,812.9500122070312,812.9500122070312,3361500,AMZN,2016-10-17,1763.6794,1847.3299560546873,1034.379943847656,0.0
2016-10-18,822.1099853515625,823.260009765625,815.02001953125,817.6500244140625,817.6500244140625,2512500,AMZN,2016-10-18,70.885445,71.44000244140625,0.0,746.2100219726562
2016-10-19,820.4000244140625,820.6699829101562,815.1699829101562,817.6900024414062,817.6900024414062,2090700,AMZN,2016-10-19,259.32788,262.9599914550781,0.0,554.7300109863281
2016-10-20,813.989990234375,815.7100219726562,803.0999755859375,810.3200073242188,810.3200073242188,3152000,AMZN,2016-10-20,210.13626,216.17999267578125,0.0,594.1400146484375
2016-10-21,809.3599853515625,819.4199829101562,809.0,818.989990234375,818.989990234375,2793000,AMZN,2016-10-21,18.350348,17.110000610351562,0.0,801.8799896240234
2016-10-24,824.9500122070312,838.2999877929688,822.2100219726562,838.0900268554688,838.0900268554688,4060900,AMZN,2016-10-24,378.38754,311.7300109863281,0.0,526.3600158691406
2016-10-25,839.2999877929688,843.0900268554688,833.219970703125,835.1799926757812,835.1799926757812,3248400,AMZN,2016-10-25,967.5709,964.9099731445312,129.72998046875,0.0
2016-10-26,832.760009765625,833.4400024414062,820.0,822.5900268554688,822.5900268554688,3998100,AMZN,2016-10-26,22.1764,16.489999771118164,0.0,806.1000270843506
2016-10-27,831.239990234375,831.719970703125,815.4299926757812,818.3599853515625,818.3599853515625,7406400,AMZN,2016-10-27,176.3944,182.94000244140625,0.0,635.4199829101562
2016-10-28,782.0,789.489990234375,774.6099853515625,776.3200073242188,776.3200073242188,10841100,AMZN,2016-10-28,12.963439,4.6145830154418945,0.0,771.7054243087769
2016-10-31,781.030029296875,793.7000122070312,780.1099853515625,789.8200073242188,789.8200073242188,5413300,AMZN,2016-10-31,72.613785,68.66000366210938,0.0,721.1600036621094
2016-11-01,799.0,800.8400268554688,776.7100219726562,785.4099731445312,785.4099731445312,5305400,AMZN,2016-11-01,323.03156,312.3900146484375,0.0,473.01995849609375
2016-11-02,783.9299926757812,784.75,763.5499877929688,765.5599975585938,765.5599975585938,5026500,AMZN,2016-11-02,141.07085,124.86000061035155,0.0,640.6999969482422
2016-11-03,765.0499877929688,777.0,764.0,767.030029296875,767.030029296875,3872500,AMZN,2016-11-03,1809.3365,1789.8399658203127,1022.8099365234377,0.0
2016-11-04,762.7899780273438,766.0,753.22998046875,755.0499877929688,755.0499877929688,5122100,AMZN,2016-11-04,193.28203,230.25,0.0,524.7999877929688
2016-11-07,771.6400146484375,787.72998046875,770.9400024414062,784.9299926757812,784.9299926757812,5984400,AMZN,2016-11-07,49.812286,38.97999954223633,0.0,745.9499931335449
2016-11-08,784.969970703125,791.739990234375,779.0999755859375,787.75,787.75,3412600,AMZN,2016-11-08,78.972755,65.33999633789062,0.0,722.4100036621094
2016-11-09,764.0,777.5,760.0900268554688,771.8800048828125,771.8800048828125,8562900,AMZN,2016-11-09,41.1568,30.25,0.0,741.6300048828125
2016-11-10,778.8099975585938,778.8300170898438,717.7000122070312,742.3800048828125,742.3800048828125,12747000,AMZN,2016-11-10,1738.0884,1804.6600341796877,1062.2800292968752,0.0
2016-11-11,735.72998046875,743.260009765625,728.9000244140625,739.010009765625,739.010009765625,6622800,AMZN,2016-11-11,50.054913,39.04999923706055,0.0,699.9600105285645
2016-11-14,745.510009765625,746.0,710.0999755859375,719.0700073242188,719.0700073242188,7321300,AMZN,2016-11-14,164.93121,164.63999938964844,0.0,554.4300079345703
2016-11-15,730.0,746.780029296875,725.989990234375,743.239990234375,743.239990234375,6755800,AMZN,2016-11-15,54.73798,49.400001525878906,0.0,693.8399887084961
2016-11-16,739.8800048828125,749.8699951171875,735.6099853515625,746.489990234375,746.489990234375,3648800,AMZN,2016-11-16,318.36374,327.6199951171875,0.0,418.8699951171875
2016-11-17,749.3200073242188,757.5,748.0,756.4000244140625,756.4000244140625,3690100,AMZN,2016-11-17,83.629234,72.0,0.0,684.4000244140625
2016-11-18,761.0,767.739990234375,757.6400146484375,760.1599731445312,760.1599731445312,4373400,AMZN,2016-11-18,193.05243,185.4199981689453,0.0,574.7399749755859
2016-11-21,766.0,780.3499755859375,765.1099853515625,780.0,780.0,4614600,AMZN,2016-11-21,256.93518,249.66999816894528,0.0,530.3300018310547
2016-11-22,788.1699829101562,792.4000244140625,781.0,785.3300170898438,785.3300170898438,5311300,AMZN,2016-11-22,116.26637,68.8125,0.0,716.5175170898438
2016-11-23,781.72998046875,781.75,773.1199951171875,780.1199951171875,780.1199951171875,3540300,AMZN,2016-11-23,22.604736,14.65999984741211,0.0,765.4599952697754
2016-11-25,786.5,786.75,777.9000244140625,780.3699951171875,780.3699951171875,1837100,AMZN,2016-11-25,59.421597,49.939998626708984,0.0,730.4299964904785
2016-11-28,776.989990234375,777.0,764.239990234375,766.77001953125,766.77001953125,4438800,AMZN,2016-11-28,44.08315,36.720001220703125,0.0,730.0500183105469
2016-11-29,768.0,769.8900146484375,761.3200073242188,762.52001953125,762.52001953125,3272300,AMZN,2016-11-29,30.543365,15.5625,0.0,746.95751953125
2016-11-30,762.0,768.0900268554688,750.25,750.5700073242188,750.5700073242188,4625900,AMZN,2016-11-30,45.73948,38.349998474121094,0.0,712.2200088500977
2016-12-01,752.4099731445312,753.3699951171875,738.030029296875,743.6500244140625,743.6500244140625,4666000,AMZN,2016-12-01,196.75949,202.5099945068359,0.0,541.1400299072266
2016-12-02,743.4000244140625,748.489990234375,736.7000122070312,740.3400268554688,740.3400268554688,3561300,AMZN,2016-12-02,12.10658,3.9479169845581055,0.0,736.3921098709106
2016-12-05,745.0,761.489990234375,742.0,759.3599853515625,759.3599853515625,4314700,AMZN,2016-12-05,1800.757,1862.0200195312498,1102.6600341796873,0.0
2016-12-06,763.989990234375,768.239990234375,757.25,764.719970703125,764.719970703125,3794700,AMZN,2016-12-06,3253.811,3074.9599609375,2310.239990234375,0.0
2016-12-07,764.5499877929688,770.4199829101562,755.8200073242188,770.4199829101562,770.4199829101562,3684900,AMZN,2016-12-07,1456.2362,1521.949951171875,751.5299682617188,0.0
2016-12-08,771.8699951171875,773.7899780273438,765.1900024414062,767.3300170898438,767.3300170898438,3189600,AMZN,2016-12-08,82.87416,78.05000305175783,0.0,689.2800140380859
2016-12-09,770.0,770.25,765.3400268554688,768.6599731445312,768.6599731445312,2470900,AMZN,2016-12-09,308.41766,310.0299987792969,0.0,458.6299743652344
2016-12-12,766.4000244140625,766.8900146484375,757.2000122070312,760.1199951171875,760.1199951171875,2963900,AMZN,2016-12-12,90.29934,72.08000183105469,0.0,688.0399932861328
2016-12-13,764.9600219726562,782.4600219726562,762.0,774.3400268554688,774.3400268554688,5285300,AMZN,2016-12-13,179.25458,174.6199951171875,0.0,599.7200317382812
2016-12-14,778.25,780.8599853515625,762.8099975585938,768.8200073242188,768.8200073242188,5454800,AMZN,2016-12-14,312.71414,314.760009765625,0.0,454.05999755859375
2016-12-15,766.280029296875,769.0999755859375,760.3099975585938,761.0,761.0,3801900,AMZN,2016-12-15,72.78311,77.25000000000001,0.0,683.75
2016-12-16,765.0,765.1300048828125,754.0,757.77001953125,757.77001953125,4848200,AMZN,2016-12-16,33.554455,32.599998474121094,0.0,725.1700210571289
2016-12-19,758.8900146484375,770.5,756.1599731445312,766.0,766.0,3113200,AMZN,2016-12-19,564.4625,655.6500244140625,0.0,110.3499755859375
2016-12-20,768.6500244140625,774.3900146484375,767.7100219726562,771.219970703125,771.219970703125,2703600,AMZN,2016-12-20,74.29111,64.80999755859376,0.0,706.4099731445312
2016-12-21,770.0,771.219970703125,765.7000122070312,770.5999755859375,770.5999755859375,2044600,AMZN,2016-12-21,960.31323,974.1900024414062,203.59002685546875,0.0
