Price,MidPrice,FuturePrice_60d
Ticker,,
Date,,
2020-01-02,64.89674834229248,50.26908296569886
2020-01-03,65.55112127853215,50.6265445413053
2020-01-06,64.82764759942818,52.54685711929005
2020-01-07,65.85188519326205,53.066430352264064
2020-01-08,65.89251275351268,50.913343149763875
2020-01-09,66.24613072714722,50.79696305034018
2020-01-10,66.70948097678854,51.35808859475179
2020-01-13,66.89237131207345,52.15199055295541
2020-01-14,67.52235915346759,49.79939434903578
2020-01-15,67.7784170950269,51.26249148510375
2020-01-16,68.46938577868731,51.752961999889784
2020-01-17,68.60350259539044,51.777901627704544
2020-01-20,68.25395289169414,50.59744705360405
2020-01-21,68.02228537593625,51.212617742142285
2020-01-22,68.26208907378137,50.23998151931454
2020-01-23,68.67260319137378,49.36711449253556
2020-01-24,69.03025833162323,48.89326891617814
2020-01-28,68.16859867799192,49.39205598509825
2020-01-29,68.70918760255016,48.810141309192176
2020-01-30,69.20910416442793,48.68544570231556
2020-01-31,69.43264456693771,48.92651607453
2020-02-03,68.56693725243761,50.05294046047166
2020-02-04,68.57099768095131,51.777907871585484
2020-02-05,68.39621828682246,50.02383613594451
2020-02-06,68.34744911232565,49.25904014134318
2020-02-07,68.85956414696041,50.48106673802113
2020-02-10,68.71323915692608,50.23166392175774
2020-02-11,68.90021485164968,49.54168338859097
2020-02-12,70.87552414602557,49.81601249241909
2020-02-13,72.0298241954884,49.936559800195866
2020-02-14,73.31824237632131,49.83680424634478
2020-02-17,73.26133397056603,49.89915336077044
2020-02-18,73.18816970420237,49.17175473774192
2020-02-19,73.08842851011113,49.504272735681575
2020-02-20,73.02192362533938,49.37542383459521
2020-02-21,73.4251045460706,49.774452576567334
2020-02-24,72.9886746872861,49.53337379907056
2020-02-25,71.949552604845,49.6248197016364
2020-02-26,70.94365366740928,48.984716475021024
2020-02-27,70.4739735457486,49.184227632420715
2020-02-28,68.17956458073252,50.173479469083446
2020-03-02,66.72063672692616,52.41801082251115
2020-03-03,66.75804382177068,54.7581364999979
2020-03-04,64.54260384394826,53.66912092850475
2020-03-05,64.38466074744355,52.76715825937137
2020-03-06,62.04037282942633,53.2160617991356
2020-03-09,58.253775005406965,54.33416585671275
2020-03-10,58.56551588403,56.34592970286849
2020-03-11,58.84399987504619,56.90289805013272
2020-03-12,54.454708400811,59.52151182862025
2020-03-13,52.7172776990198,59.430066906272664
2020-03-16,50.36052150507358,57.48898013611431
2020-03-17,52.93756333662858,55.62269229748807
2020-03-18,53.99749125478482,55.49799681479894
2020-03-19,52.846132679400526,57.297777229950555
2020-03-20,51.67399507875622,57.89631566012946
2020-03-23,46.54067380792162,57.42662989703527
2020-03-24,46.97295555820267,57.49728874378738
2020-03-25,51.70724277568498,57.189698358617974
2020-03-26,51.83193318227244,57.646922809061714
2020-03-27,50.26908296569886,57.559635162353516
2020-03-30,50.6265445413053,56.36670924677119
2020-03-31,52.54685711929005,57.33518063792905
2020-04-01,53.066430352264064,56.686769799603596
2020-04-02,50.913343149763875,57.76331504226525
2020-04-03,50.79696305034018,57.912932436475614
2020-04-06,51.35808859475179,58.56551460863686
2020-04-07,52.15199055295541,59.43838323140731
2020-04-08,49.79939434903578,59.36356791203511
2020-04-09,51.26249148510375,59.49658062779617
2020-04-14,51.752961999889784,58.82737498972189
2020-04-15,51.777901627704544,58.78996431196285
2020-04-16,50.59744705360405,58.70683725990756
2020-04-17,51.212617742142285,59.82079515409118
2020-04-20,50.23998151931454,59.74181783037287
2020-04-21,49.36711449253556,60.157475007140945
2020-04-22,48.89326891617814,60.564801176951306
2020-04-23,49.39205598509825,60.427635206219364
2020-04-24,48.810141309192176,59.93716637356772
2020-04-27,48.68544570231556,61.18829057691906
2020-04-28,48.92651607453,61.69538113962702
2020-04-29,50.05294046047166,61.30882142819083
2020-04-30,51.777907871585484,60.71029025719885
2020-05-01,50.02383613594451,60.411006949839845
2020-05-04,49.25904014134318,60.2821626639774
2020-05-05,50.48106673802113,60.60636635684165
2020-05-06,50.23166392175774,60.90147809806377
2020-05-07,49.54168338859097,59.77090259634133
2020-05-08,49.81601249241909,58.332754618864925
2020-05-11,49.936559800195866,59.35524805110856
2020-05-12,49.83680424634478,59.02689106786485
2020-05-13,49.89915336077044,59.733508227609164
2020-05-14,49.17175473774192,59.326150416912455
2020-05-15,49.504272735681575,60.71860448913266
2020-05-18,49.37542383459521,61.80760447984256
2020-05-19,49.774452576567334,62.47680231801771
2020-05-20,49.53337379907056,61.27557288606309
2020-05-21,49.6248197016364,59.93300869855392
2020-05-22,48.984716475021024,58.9645436329361
2020-05-25,49.184227632420715,58.723466768131296
2020-05-26,50.173479469083446,59.243801662351345
2020-05-27,52.41801082251115,59.05832548631915
2020-05-28,54.7581364999979,59.06676493459699
2020-05-29,53.66912092850475,58.392345021745925
2020-06-01,52.76715825937137,59.20165067120631
2020-06-02,53.2160617991356,58.788556478040654
2020-06-03,54.33416585671275,58.47242614175384
2020-06-04,56.34592970286849,58.34176166432218
2020-06-05,56.90289805013272,57.802228856905515
2020-06-09,59.52151182862025,56.60933779634091
2020-06-10,59.430066906272664,56.72314277084773
2020-06-11,57.48898013611431,57.50715935694131
2020-06-12,55.62269229748807,56.423867318537276
2020-06-15,55.49799681479894,56.373293369078056
2020-06-16,57.297777229950555,57.477654139847246
2020-06-17,57.89631566012946,56.22575846995472
2020-06-18,57.42662989703527,56.73578840909707
2020-06-19,57.49728874378738,55.555557786892614
2020-06-22,57.189698358617974,55.79160469004582
2020-06-23,57.646922809061714,55.230982155714145
2020-06-24,57.559635162353516,55.34479305515075
2020-06-25,56.36670924677119,54.9527867620531
2020-06-26,57.33518063792905,54.5776436963223
2020-06-29,56.686769799603596,53.8695001444728
2020-06-30,57.76331504226525,53.14027487704655
2020-07-01,57.912932436475614,53.85263670678471
2020-07-02,58.56551460863686,53.81891695770233
2020-07-03,59.43838323140731,55.47968192589967
2020-07-06,59.36356791203511,55.635641459581905
2020-07-07,59.49658062779617,55.18040476638194
2020-07-08,58.82737498972189,53.81469528539142
2020-07-09,58.78996431196285,53.93272484666169
2020-07-10,58.70683725990756,53.802048250685964
2020-07-13,59.82079515409118,55.09188646684973
2020-07-14,59.74181783037287,55.8253195381361
2020-07-15,60.157475007140945,56.373289100661
2020-07-16,60.564801176951306,57.47765566067753
2020-07-17,60.427635206219364,57.414421156737745
2020-07-20,59.93716637356772,57.452368202853606
2020-07-21,61.18829057691906,58.56936939028554
2020-07-22,61.69538113962702,57.991901309372594
2020-07-23,61.30882142819083,58.12678213381416
2020-07-24,60.71029025719885,58.270102937110146
2020-07-27,60.411006949839845,58.95294958647678
2020-07-28,60.2821626639774,58.653682810920614
2020-07-29,60.60636635684165,58.5398761806202
